threshold,precision,recall,f1
0.0,0.4493783303730018,1.0,0.6200980392156863
0.01,0.46,1.0,0.6301369863013699
0.02,0.4606946983546618,0.9960474308300395,0.63
0.03,0.4658040665434381,0.9960474308300395,0.6347607052896725
0.04,0.4675324675324675,0.9960474308300395,0.6363636363636364
0.05,0.4701492537313433,0.9960474308300395,0.6387832699619773
0.06,0.47438330170777987,0.9881422924901185,0.6410256410256411
0.07,0.47619047619047616,0.9881422924901185,0.6426735218508997
0.08,0.4780114722753346,0.9881422924901185,0.6443298969072165
0.09,0.4789272030651341,0.9881422924901185,0.6451612903225806
0.1,0.4844961240310077,0.9881422924901185,0.6501950585175552
0.11,0.486328125,0.9841897233201581,0.6509803921568628
0.12,0.49306930693069306,0.9841897233201581,0.6569920844327176
0.13,0.49700598802395207,0.9841897233201581,0.6604774535809018
0.14,0.5,0.9841897233201581,0.6631158455392809
0.15,0.5040485829959515,0.9841897233201581,0.6666666666666667
0.16,0.5081632653061224,0.9841897233201581,0.6702557200538357
0.17,0.515527950310559,0.9841897233201581,0.6766304347826088
0.18,0.5156576200417536,0.9762845849802372,0.6748633879781422
0.19,0.5159235668789809,0.9604743083003953,0.6712707182320443
0.2,0.5182012847965739,0.9565217391304348,0.6722222222222222
0.21,0.5205183585313174,0.9525691699604744,0.6731843575418995
0.22,0.5228758169934641,0.9486166007905138,0.6741573033707866
0.23,0.5274725274725275,0.9486166007905138,0.6779661016949153
0.24,0.532293986636971,0.9446640316205533,0.680911680911681
0.25,0.5370786516853933,0.9446640316205533,0.6848137535816619
0.26,0.5389908256880734,0.9288537549407114,0.6821480406386067
0.27,0.5486935866983373,0.9130434782608695,0.6854599406528191
0.28,0.5579710144927537,0.9130434782608695,0.6926536731634183
0.29,0.5601965601965602,0.9011857707509882,0.6909090909090908
0.3,0.5615763546798029,0.9011857707509882,0.6919575113808801
0.31,0.5671641791044776,0.9011857707509882,0.6961832061068701
0.32,0.5732323232323232,0.8972332015810277,0.699537750385208
0.33,0.5754475703324808,0.8893280632411067,0.6987577639751553
0.34,0.5818181818181818,0.8853754940711462,0.7021943573667712
0.35000000000000003,0.5853018372703412,0.8814229249011858,0.7034700315457414
0.36,0.5983827493261455,0.8774703557312253,0.7115384615384616
0.37,0.6038251366120219,0.8735177865612648,0.7140549273021001
0.38,0.6077348066298343,0.8695652173913043,0.7154471544715448
0.39,0.6078431372549019,0.857707509881423,0.7114754098360656
0.4,0.6147308781869688,0.857707509881423,0.7161716171617161
0.41000000000000003,0.6171428571428571,0.8537549407114624,0.7164179104477613
0.42,0.6184971098265896,0.8458498023715415,0.7145242070116861
0.43,0.6169590643274854,0.83399209486166,0.7092436974789916
0.44,0.6224188790560472,0.83399209486166,0.7128378378378378
0.45,0.6336336336336337,0.83399209486166,0.7201365187713311
0.46,0.6391437308868502,0.8260869565217391,0.7206896551724139
0.47000000000000003,0.64,0.8221343873517787,0.7197231833910035
0.48,0.6417445482866043,0.8142292490118577,0.7177700348432056
0.49,0.6415094339622641,0.8063241106719368,0.7145359019264448
