feature,coefficient,abs_coeff
total_amount_log,-0.9405536051011024,0.9405536051011024
recent90_orders,-0.8811639219811458,0.8811639219811458
avg_order_amount,0.3569237590638549,0.3569237590638549
recency_days,0.35639174701989584,0.35639174701989584
total_orders,-0.07996917646585809,0.07996917646585809
recent90_amount_log,0.0482562072221724,0.0482562072221724
distinct_products,-0.03717464861917529,0.03717464861917529
total_qty,0.0011923958764176361,0.0011923958764176361
